initial_utterance,tagged_utterance,tag
А ваши бабушка с дедушкой живут в Санкт-Петербурге?,"Кирилл, да",pos_answer
Это норм?,Да,pos_answer
"Ксюша, красота -гарант стабильности отношений?","Ксюша, точно",pos_answer
Сойдет?,Ага,pos_answer
"Александр, красивый правда?",Да,pos_answer
"No, у вас носом кровь шла хоть раз?",Да,pos_answer
"Адель, я не понял у тебя там 1667р на тройке и ты продаешь за 500р?",Да,pos_answer
это мечта?,"Ксюша, да",pos_answer
Вас тоже это бесит?,Да!,pos_answer
Вас тоже это бесит?,Очень,pos_answer
"Мне одному показалось, что он похож на старого Хью Джекмана?",Да,pos_answer
Считаете ли вы провоз велосипеда в метро в таком виде нормальным?,да,pos_answer
Или это не просто гитара?,"Конечно, не просто гитара…",pos_answer
показать примеры здешних обработок когда реально человек на себя не похож кардинально?,"Юлия, давайте.",pos_answer
"Вы, что, ничего никому не расскажете?",Конечно!,pos_answer
"Тебе же со мной повезло ведь, да ?","Ну, конечно.",pos_answer
"Варь, ты хочешь на конкурс?",Хочу!,pos_answer
"Ну, хочешь, я сам вместо тебя отвезу?",Хочу!,pos_answer
"Петь, хочешь яблоко?",Давай.,pos_answer
"Настроения, что ли, нет?",Есть.,pos_answer
А банан есть?,Есть.,pos_answer
"Подожди, ты же из моей школы, да?",Ага.,pos_answer
Можно мне в этом доме хотя бы раз спокойно помыться?!,Конечно… но не сегодня!,pos_answer
Москва???,"Да, Москва, еда здоровая, люди адекватные.",pos_answer
Понял?!,"Да, понял я, понял…",pos_answer
Целиком?,Целиком.,pos_answer
Ты этих людей знаешь?,Децл знаю.,pos_answer
"Так может,ты мне скажешь, как мне играть, где мне жить?",И скажу!,pos_answer
"Владислав, он женился во второй раз, когда ему было больше 80?","Нила, да, он и работал вовсю.",pos_answer
Вы Ольгу Степановну любите?,Люблю.,pos_answer
Эффект Мандэлы или это уже блокировки начали работать?,Да,pos_answer
"Сергей, тот кто смотрит снизу - главенствует?","Да, всегда дань отдавалась мужчине !",pos_answer
"Викторъ, вы эксперт?",Да.,pos_answer
"Посмотрел, сколько ехать?",Ага.,pos_answer
Ты в Казани?!,Я в Казани живу.,pos_answer
Аня?,Да.,pos_answer
Во фрисби играешь?,Дааа...,pos_answer
На диете?,"Ну, типа.",pos_answer
"Это что, газовый баллончик?!",Точняк!,pos_answer
Мы ужинать сегодня будем?,Конечно!,pos_answer
Тебе нравится английский?,Нравится,pos_answer
Ты сам купил?,Ну да.,pos_answer
Месить?,Да,pos_answer
Ко Дню Школы готовитесь?,Да,pos_answer
Гуляешь?,Да,pos_answer
Это ж ты заходил?,Да,pos_answer
Тебя ж Колей зовут?,Да,pos_answer
А ты же Смирнов?,Да,pos_answer
Поприкольнее двери?,Ну да.,pos_answer
Ты куришь?!,C 5-го класса,pos_answer
"Ты сейчас слышал, что Дима рассказал?..",Да,pos_answer
Поссорился?,Да,pos_answer
С отцом?,С ним,pos_answer
"Здесь, да?",Ага,pos_answer
"Короче, да или нет?",Да,pos_answer
На свидание?..,Да,pos_answer
Ты играл?,"Ну да, на компьютере.",pos_answer
Столько хватит?,"Да, давайте!",pos_answer
"Экстрасенс, колу будешь?",Буду,pos_answer
Хочешь по-честному?,Конечно!,pos_answer
Сын?,"Ну, типа того.",pos_answer
"Он что, с тобой про меня говорил?",Да,pos_answer
"Чего, правда, что Багдасар в другую школу перевелся?","Правда, расслабься",pos_answer
"Ты знаешь, что он маньяк, что он играет в игровых автоматах?!","Ну, знаю",pos_answer
"Вы знаете, что он... что он постоянно на игровых автоматах играет?","Да, конечно, я знаю.",pos_answer
"Коль, возьмёшь меня в жены?",Возьму,pos_answer
Дронов?,Да,pos_answer
"У нас ещё и ""иначе"" есть?...","Да, есть иначе.",pos_answer
а все лысые это скинхеды?,"Юлия, да, скины лысые были..",pos_answer
Вы из Воронежа ?,"Алла, да",pos_answer
Неужели в интернете?:),"Оксана, да",pos_answer
"Евгения, это ваш муж исполняет?","Дима, да",pos_answer
"Мужики широко садятся, да?",да,pos_answer
Это что - косплей лисы Алисы из Зайчика?,да,pos_answer
"Не могу понять, это корги?","Да, это корги",pos_answer
"Татьяна, хочешь такой же ?","Назим, конечно",pos_answer
Это нормально?,"Да, нормально",pos_answer
"это та, которая слева?))","Ник, судя по анонимности размещения - да",pos_answer
а в метро точно так можно?,Можно !,pos_answer
а в метро точно так можно?,"конечно, каждый день так делаю",pos_answer
Помогаете таким?,Обязательно!!!,pos_answer
Помогаете таким?,Да,pos_answer
"Вы её нюхали, вопрос автору!????","Яна, да",pos_answer
"Dirty, парню то понравилась пантерка ?)","Ja, очень)",pos_answer
Интересно девушкам удобно с такими ногтями?!,"Jeck, да",pos_answer
"Максим, не факт, что тогда война была?","Олеся, да. Война всегда идёт.",pos_answer
Важа Ясонович?,"Вера, да",pos_answer
"Юрий, южане?","Галина, да. Черновицкая область.",pos_answer
"Маргарита, типо съемные ?","Андрей, да",pos_answer
"Костя, у него одна нога короче другой получается? А то, я тут стараюсь комментарии другие поправлять, а может и я не прав оказываюсь","Влад, да",pos_answer
"Vladimir, слава кпсс сидит?","Тимур, кстати да, похож",pos_answer
"Товарищ, а что ещё от БПАН-щика ждать","Товарищ, да",pos_answer
Это вообще нормально?,Да это нормально!,pos_answer
"Валерия, а в чем моя тупость ,что я высказала своё мнение про имена!?","Мария, да. Потому что имена, вроде Натальи ничем не хуже Прасковьи",pos_answer
"Лилия, а что это за ягода? Шелковица?","Наташа, да. Кто как называет",pos_answer
Разве нормально судить человека по его одежде?,"Тёма, да",pos_answer
"А с весны ещё и редиску туда добавляем, для остроты",Раньше да.,pos_answer
"Вполне возможно, они уже обесценились к этому моменту, это да.","Гузэль, да",pos_answer
"Из фильма ""Бригада""?","Алина, да",pos_answer
"Артём, господи, ладно, лишь бы ты был счастлив в своем мире",Да,pos_answer
"Прочитала ""стресс кафе"" ?","Настя, да",pos_answer
"Лариса, меня перед фото умыли, но сок от ягод очень тяжело смывается с кожи и одежды)","Лариса, да",pos_answer
Это позволяло избежать поломок на трамплинах,"Виктор, да",pos_answer
"Аделина, какие утонченные черты лица","Елизавета, да",pos_answer
"Елена, ага,смотришь и думаешь,то ли накачала вафли,то ли веслом перетянули.","Егор, согласна",pos_answer
"Анна, потом рассмотрела и себя нашла?","Анюта, да",pos_answer
"Павел, да ты что?","Ершов, да",pos_answer
"Не на цветные ли волосы возбудился, как в Электростали на днях было?)","Михаил, да",pos_answer
Вопросики?,"Лена, да",pos_answer
"Илья, это тот самый шалунишка нагибатор?)","Мастур, да",pos_answer
"Девушки вам реально нравятся такие сладкие мальчики, чем мужчины","Зелим, да",pos_answer
И она всегда себя так ведёт?,"Игорь, да",pos_answer
думает другим приятно?,Да,pos_answer
надо эти фото (и аналогичные) на сайт мос ру в обращение написать чтобы принимали меры и наказывали таких.,"Антон, Ну так если, то да",pos_answer
Зачем она её так за колено держит?,Надо так,pos_answer
А разве ковбои за конфедерацию?,Да,pos_answer
"По вашему мнению, после открытия новых изменилась ситуация?",Да,pos_answer
Это вес из каспийского?,"Никита, да",pos_answer
он же каждый вечер газеты выдавал...?,"Диана, да",pos_answer
"Интересно, а блоховоза обязательно на сиденье затаскивать?",Да,pos_answer
"ахах, может мне решать во что одеваться и как выглядеть?)","Алексей, согласна",pos_answer
а в метро точно так можно?,Я разрешил,pos_answer
"Димкоу, Вы с ним лично знакомы ?","Илья, да",pos_answer
"Действительно странная ситуация,но много раз уже встречался с таким.","Александра, да",pos_answer
Не корона бро?,Не корона бро,pos_answer
Они будут кушать эти года на мои налоги ??,"Паша, да",pos_answer
Сам себя выложил?,"Алёна, да",pos_answer
Это вообще нормально?,Нормально,pos_answer
Вас тоже это бесит?,Да! Очень,pos_answer
"Михаил, тем более сегодня день пиво))",Да))),pos_answer
Считаете ли вы провоз велосипеда в метро в таком виде нормальным?,Нормально,pos_answer
Считаете ли вы провоз велосипеда в метро в таком виде нормальным?,Нормально считаю!,pos_answer
"Мне одному показалось, что он похож на старого Хью Джекмана?","да, одному тебе",pos_answer
"Мне одному показалось, что он похож на старого Хью Джекмана?",Тебе одному и показалось:),pos_answer
"Мне одному показалось, что он похож на старого Хью Джекмана?","Да, одному",pos_answer
я его знаю,"Ray, да",pos_answer
а то есть чувак слева нормально сидит?,"Тима, да",pos_answer
Норм так вообще?Анон,да.,pos_answer
помнишь когда мы познакомились с 2 мя какими-то панк девчонками в метро?,"Вета, да",pos_answer
Устал наверно Анон,Устал да,pos_answer
"Екатерина, А например Тимати и Моргенштерн они кореные русские ?","Билол, да",pos_answer
"Алевтина, ещё и на НОВАТОРСКОЙ Ну это почти то же самое, что и Сокол","Мария, да",pos_answer
"Мирон, по запаху определил?","Только, да",pos_answer
"Не, у него шерсть","Просто, да",pos_answer
"Анжелика, ты уверена, что ты лучше?)","Love, да",pos_answer
Я просто все отношения с правды начинаю!,А я заканчиваю.,statement
Потом сама разберусь.,С отцом ты разобралась.,statement
"Бургеры были у нас дома, но папа решил устроить семейное автопутешествие.","Кроме бургеров и жареной картошки, есть много вкусной и полезной еды.",statement
Он сказал - приезжай.,Такие варианты на дороге не валяются.,statement
"Я вот тут читаю про конкурс, а почему вы нам ничего не сказали?",Ну просто не все дети туда попадают.,statement
"Если он и умрёт, то только от смеха, когда увидит твой нож.","Посмотрим, как ты заговоришь, когда мы будем в лесу!",statement
Моя девушка!,Даже у меня ещё нет девушки!,statement
Я вообще-то планировал позвать её мультики смотреть наедине.,Тебе вообще девять!,statement
Я хочу в лес выживать!,"Сейчас мама всё решит, у неё наверняка свои планы на мой отпуск.",statement
"Мы же договаривались, что, когда они мне понадобятся, ты перезаймёшь и отдашь.","Ну да, договор - есть договор…",statement
"Я знаю, что это выглядит странно, но…","Никаких «но», у меня Алла уезжает!",statement
"Никаких «но», у меня Алла уезжает!","Просто у меня сосед долбанутый, я его залил, он мне теперь прохода не дает, из-за какой-то десятки грозится мне ногу сломать.",statement
"Никаких «но», у меня Алла уезжает!","Брат, я всё верну, у меня ж теперь работа.",statement
"Витя, потерпи, я сейчас вызову скорую.",Эдик… брат… мне конец…,statement
Эдик… брат… мне конец…,"Да ничего не конец, это нога, он же тебе не в сердце выстрелил.",statement
Это все из-за тебя!,"Вить, я ж не знал!",statement
"У детей каникулы, у меня отпуск, устроим настоящее семейное автопутешествие!","Да туда ехать неделю, не меньше!",statement
"Так Эдик, хватит мне морочить голову, я всё уже решила, ты остаешься с пацанами.","Но тогда и ты останешься, потому что я сдал ваши билеты.",statement
"Алло, я тут. У меня проблема!","То, что Эдик едет с тобой - это вообще не проблема, я же написала - я возьму его с детьми на себя.",statement
"То, что Эдик едет с тобой - это вообще не проблема, я же написала - я возьму его с детьми на себя.","Нет, теперь у меня другая проблема - Игорь просит прислать фотки без лифчика!",statement
У нас нет молока.,"Ну хотя бы воды… в горле пересохло, тяжело говорить…",statement
Погнали!,Меня укачивает.,statement
Меня укачивает.,Мы еще не тронулись.,statement
Мы еще не тронулись.,"Значит, голова от голода закружилась.",statement
"Значит, голова от голода закружилась.","Петя, мы только что позавтракали!",statement
Нет такого города!,"А в интернете написано, что есть!",statement
"Эдик, ты же хотел наслаждаться семьёй, общением.",Я могу наслаждаться семьёй и когда они спят.,statement
Я могу наслаждаться семьёй и когда они спят.,У меня урчит в животе.,statement
"Если бы не ты, мы бы с Варей сейчас ехали в поезде, и ничего бы не случилось!",Сейчас мы догоним автобус и заберем Петю.,statement
Жесть!,Я уже привык.,statement
Но я уже привык.,"Ну ничего, сейчас ты в безопасности, мы тебя в обиду не дадим.",statement
"Я больше не вижу автобус, мы больше никогда не увидим Петю…","Прикинь, кто-то пятьсот рублей потерял!",statement
"Прикинь, кто-то пятьсот рублей потерял!","Прикинь, кто-то ребёнка потерял!",statement
"Если бы не твоя дурацкая идея устроить семейное автопутешествие, ничего бы не случилось.",Мы просто немного потеряли Петю…,statement
Немного?!,Но мы его найдем!,statement
"Продадут его почки, лёгкие, сердце моего мальчика, глаза…",Петя нашелся!,statement
"Ну, не знаю… надо быть очень смелым, чтоб с пилочкой для ногтей на толпу полезть.",Это нож!,statement
Ребята там все с фитнес-индустрии...,"Ты там, правда, никого не знаешь...",statement
"Ну ничего, зазнакомишься...",Нам же там ещё тост говорить...,statement
"О-о, сладкая женщина.",Ещё и пятна останутся.,statement
Вообще не стараешься.,"Я же кондитер, с едой работаю.",statement
"Я же кондитер, с едой работаю.",Ты живёшь с едой.,statement
"Тебе вообще по фиг, как выглядишь, что ешь, когда ешь,что я чувствую.",После работы ноги отваливаются.,statement
В фитнес абонемент предлагал купить.,Мы же не миллионеры.,statement
Мы же не миллионеры.,На море поехали - всю неделю в номере провалялась.,statement
На море поехали - всю неделю в номерепровалялась.,Я обгорела.,statement
"Сказал, толстая я.",У тебя просто кость широкая... стала.,statement
Ты так никогда не похудеешь.,Я вообще-то только что из фитнеса.,statement
"Домкрат идет в комплекте с любым автомобилем, как запаска, баллонный ключ, аптечка…",У нас нет аптечки.,statement
Такие варианты на дороге не валяются.,Я же не могу просто взять и без каких-либо объяснений уехать на несколько дней в Минск.,statement
Кабана можно убить.,"Если он и умрёт, то только от смеха, когда увидит твой нож.",statement
Я устроился на работу!,"Я рад, что ты, наконец, нашел нормальную работу.",statement
"Мне кажется, немного семейного дурдома нам не помешает, мы очень мало времени проводим с детьми.",Ты просто не хочешь оставаться с пацанами один.,statement
Игорь просит прислать фотки без лифчика!,Все так делают.,statement
Вот!,"Я думал, что там будет что-то типа отрубленной головы в коробке, а это просто гитара…",statement
"Я думал, что там будет что-то типа отрубленной головы в коробке, а это просто гитара…","Конечно, не просто гитара… наверняка она стоит кучу бабла.",statement
Открывай!,"Обидно, конечно, что ты не доверяешь собственному брату…",statement
"Кроме бургеров и жареной картошки, есть много вкусной и полезной еды.",Я хочу бургер.,statement
Варя! Ну хоть ты не нагнетай!,"Если бы не ты, мы бы с Варей сейчас ехали в поезде, и ничего бы не случилось!",statement
Но я уже привык.,Угораздило же тебя родиться в такой семье!,statement
"Он дальше первого фастфуда не уедет, просто заберём его оттуда, и все.","Ага… если его к этому времени не заберут цыгане, и не сдадут его на органы, продадут его почки, лёгкие, сердце моего мальчика, глаза…",statement
Ерунда… любой бы так поступил на моем месте.,"Ну, не знаю… надо быть очень смелым, чтоб с пилочкой для ногтей на толпу полезть.",statement
Sweet Dreams VS Скованные одной цепью,"Ваши примеры действительно подходят, но только лишь по размеру стиха.",statement
Sweet Dreams VS Скованные одной цепью,"Про то что вокал отдалён от музыки, я не очень понял. Можно пример?",statement
Sweet Dreams VS Скованные одной цепью,"В плане неожиданных сочетаний у Глеба Самойлова были своеобразные размышления насчет ""старика Козлодоева"", меня прям улыбнуло.",statement
"Sveta, Чисто мужское отношение к Браку","Светлана, хорошее дело БРАКом не назовут",statement
"Sveta, все женихи одинаковые радостные )))","Светлана, я бы не сказала, что мужчины не хотят жениться",statement
Трижды прадед Полев Петр Гаврилович у могилы своего младшего сына от второй жены (она же на фото). Ставрополье.,Хочется узнать больше об истории этого фото.,statement
"Иногда думаю, а как бы сложилась моя жизнь и жизни моих родных, если бы не случилось этой трагедии?","Михаил, к меня нет привычки додумывать за других людей.",statement
Моя любимая бабулечка Оля,Даже и представить сложно её пожилой.,statement
"Наталья, не переживайте, у нас на первом курсе исторического факультета некоторые не помнили, что такое Брестский мирный договор","Наталья, в моей молодости скажем так и правда были другие интересы !и сверстников )",statement
"Почему то название страны ""Хорватия"" сразу ассоциируется с понятием ""в гостях у бабушки"")","Денис, а у меня почему-то с Югославией",statement
Моя бабушка Людмила в 18 лет,"Красивая бабушка Люда, но правый глаз больше левого , бросается в глаза, но это её не портит",statement
"Фёдор, нее, Юдашкин!","Фёдор, у меня тоже ассоциация с Лагутенко!",statement
"Твоё, от счастья такое услышать двойная радость)","Твоё, солидарна с вами, очень и очень приятная женщина, каждое фото наполнено теплыми эмоциями)",statement
"Сергей, вот например! Ребята на стиле!)","Ну не знаю, с которыми я общалась были похожи по стилю.",statement
"Сергей, вот например! Ребята на стиле!)","Понятно, что на фото Англичане скорее всего, те то те ещё модники, но и в наше время были индивидуумы.",statement
"2003 год, Ильменский фестиваль! Я со своей бандой... Один скин, рокер и два панка","Что то панков я на фото не наблюдаю, больше похоже на пацанчиков с нашего двора, оп, оп. Че по чем, хоккей с мячом.)",statement
"Мария, может быть... Я сколько не смотрю на этих милых девчушек, никак не могу определиться :)",А я всегда очень боялась оказывается-нельзя ничего бояться,statement
"Я с сестрой, 1972, Комарово","Напомнило ""Гостью из будущего""",statement
"Помню, отец привез мне из командировки подобный игрушечный телефон. О, боже, как я была счастлива!",О таком я даже не мечтала,statement
"Нина, типичная внешность тех лет. Короткая стрижка, круглые очки.","Алексей, что-то я редко вижу на фото тех лет мужчин в белых рубашках и галстуках,обычно в косоворотках и кирзовых сапогах,очки тоже редкость-зрение у всех было хорошее-за компом не сидели,глаза не портили...))",statement
У неё чё-то с головой,"ощущение что это копна ее перевешивает, она будто не идет а пытается не упасть",statement
Стих подкорректированный,Если речь про меня то я скорее стебусь над поэзией потому как способность к стихосложению не считаю чем-то выдающимся.,statement
Моя мама. Ей здесь 21 год 22.07.1990,"Не знаю как обьяснить, но чувствуется бешеная энергетика от фотографии.",statement
"Sveta, ну, она же не слон, чтобы её заметить!","Мелодия очень громкая, а я не догадалась уменьшить звук на телефоне, эх!",statement
"Уверена, что вы просто невнимательно смотрели и вам ещё рано к окулисту!","Sveta, зато я невнимательно слушала, вернее слушала внимательно, но не знаю, что за мелодия у вас в историях в ВК",statement
Мои бабушка и дедушка. 1980-е,А мне Боярского дедушка напомнил),statement
"Наташа, Возможно,но почему-то сразу этот фильм вспомнил","Алексеева, Значит я как в воду глядел,похожи)",statement
"супруга, 1977",По всей видимости вам с ней повезло и вы очень любите ее .,statement
Фабрика универсальных солдат,Наконец то можно сказать - выбирай любую!,statement
"Мой папа в море, год примерно 1984.",Слушайте! Они похожи !!!,statement
Тем же летом моего отца убили.,Какой ужас!,statement
"Кста, жду доказательства слов из твоего первого сообщения.",Просто погугли.,statement
Почти...,Как-то непразднично говоришь.,statement
У меня метаболизм быстрый.,Заметно.,statement
"Да туда ехать неделю, не меньше!","Мне кажется, немного семейного дурдома нам не помешает, мы очень мало времени проводим с детьми.",statement
Ты просто не хочешь оставаться с пацанами один.,"Я просто хочу, чтобы мы провели время всей семьёй!",statement
"Мне кажется, немного семейного дурдома нам не помешает, мы очень мало времени проводим с детьми.",Это ты проводишь с ними мало времени!,statement
"Нужно выезжать, а то мы все пробки по дороге соберем.",Ничего страшного!,statement
"Не, не балуют. Они говорят, что мне нельзя сладкое и соленое, и с пола…",Жесть!,statement
"Ага, а с тобой - прям счастливая сразу.","Да я тебе точно говорю, первое впечатление самое важное.",statement
"Своди Кирилла в зоопарк, пусть посмотрит на кабана и на свой нож!",Я не хочу в зоопарк!,statement
"Они были правы, мы фиговые родители.","Нет, мы - нормальные родители.",statement
"Бургеры были у нас дома, но папа решил устроить семейное автопутешествие.","Я уверен, ты что-нибудь себе найдешь.",statement
"Он вернется, а мы все уехали.","Даша права, надо, чтоб кто-то остался здесь.",statement
"Давай не будем, а?","Я бы рад сказать: дело не в тебе, а во мне. Но... дело в тебе.",statement
Зато он меня с маленькой дочкой небросил.,Он же ещё хуже.,statement
"Пойми, чего вообще от жизни хочешь.","Я хочу от жизни, чтобы мы с Женей…",statement
Спасибо за макро.,"Во-от, уже вижу жизнь в глазах.",statement
"Теперь иди вон булками потряси, потанцуй хоть немного.",Мне музыка не нравится.,statement
"Давай за руки возьмёмся, чтобы он не думал, что ты несчастная.","Ага, а с тобой - прям счастливая сразу.",statement
"Давай, я тебе лучше патрон подарю.","Ну, пожалуйста.",statement
"ChatGPT безошибочно угадывает сюжет картинки, уважение таким нейронкам.",Про любопытного приятеля врать не буду,statement
Тыковки.,Вот теперь смог!,statement
Прошлое мс покайся,"Выяснилось, что таких много.",statement
Помогите найти игру,Она!,statement
Пилим и варим,"Точно, полуавтомат это называется.",statement
Рюкзаки общественном транспорте,"Чтобы музыку слушать его не обязательно в руках держать, подсмотреть кто-то может.",statement
Проблема десяти тысяч математиков,Продавцы уже заканчиваются .,statement
Ох уж эти языки,"я попробовал несколько раз, но каждый раз получается как на видео",statement
Ещё и нож заряжать придётся.,"да, вот интересно, когда я режу овощи придерживаю нож ногтями сбоку.",statement
"мои потешные фотокарточки родом из детства, которые, надеюсь, поднимут вам настроение! )",Прям как в детстве побывал) тоже был голубой волнистый попугай) и ковёр такой же,statement
"мои потешные фотокарточки родом из детства, которые, надеюсь, поднимут вам настроение! )","Никаких постановочных бездушных фото, как сейчас. Сплошные эмоции!",statement
"Я маленькая у мамы на руках) Рядом папа и родная тетя, 1981 г",Мама - копия Кирстен Данст,statement
Моя любимая бабулечка Оля,"Красавица,похожа на актрису из кино!",statement
"На фото папочка мой. В феврале будет 11 лет, как папки нет, мама осталась ему верной до конца своих дней.",Харизма прёт через экран,statement
На этих фото четыре поколения моих предков.,"Тяжёлая история, утешает лишь то, что пострадавшие за веру - Ваши родные на Небесах остаются для Вас помощниками и молитвенниками.",statement
"В метро тестируют новые информационные табло На них будут показывать вагоны, ближе всего расположенные к переходам на станции.","Так скоро и до подачи жратвы, кофе, виски дойдём как в Аэроэкспрессе. Всякие услуги там... Чего бы ещё внедрить",statement
метро щукинская хрустально чистое,"Что самое интересно в правилах пользования метро есть отдельный пункт в котором говориться, что в метро ходить босым нельзя.)",statement
"Когда приходится работать на двух работах, потому что начальник платит мало.","Ужас. Бедные курьеры, работают на износ.",statement
На парке победы такое чудо,Цыгане едят ежей,statement
"Иван василич, а расскажите, что такое нюанс.",Украл эту игрушку у своей девушки по имени Виктория.,statement
Как оцениваете действия данного экстремала?,А потом из-за таких перекрывают чуть ли не целую линию. Люди не могут никуда попасть часами,statement
как вы относитесь к длинным волосам у мужчин?,"Некоторым мужчинам оочень идут длинные волосы. Правда, это скорее исключение.",statement
"Джирая воскрес в нашем мире, и принял религию - Московского метропалетена.",На Цска анимешников много,statement
"Елизавета, я до сих пор на него смотрю и не могу понять в чём прикол","Тимур, на соседнем экскалаторе, мужчина бежит в противоположную сторону",statement
"Мой свекор где-то прочёл, что если взять стебель от срезанной розы с несколькими почками, воткнуть в сырую картофелину и закопать, то через 45 дней вырастет новый розовый куст и даже зацветёт.","А я сажал так розы, с несколькими листочками, правда без картошки , некоторые даже прижились и одна цвела в первый же год)",statement
"Часто бывает, что человек, заказывая тумбочку, имеет в виду совсем другое - например, кровать с ящиком для постельного белья. И потом, получив тумбочку, начинает возмущаться.",Обычно предлагают тумбочку по цене кровати с ящиком для белья и балдахином.,statement
"Иван, вы всегда так делаете?","Иван, силу доказательства имеют лишь скрины, заверенные нотариусом",statement
"А вы что, знали что такое ""ракель""?",Ракель это скребок такой тонировку разглаживать.,statement
"Лариса, да повреждения существенные, надо ещё несколько фотографий её и тогда на основе этих данных можно уже сделать, но перерисовывая практически",К сожалению это единственная фотография где она молодая девушка,statement
"Оксана, как со старой открытки","Ahmad, это фото в нашем семейном альбоме. Предположительно ученица моей тети по фортепиано.",statement
"Ahmad, это фото в нашем семейном альбоме. Предположительно ученица моей тети по фортепиано.","Эльмира, это фото из нашего альбома, моей прабабушки",statement
"Как мне хотелось в детстве покататься на таких машинах, но у нас в городе не было таких","Сергей, а у нас в городе такие были. Хотя небольшой город.",statement
"Сергей, а у нас в городе такие были. Хотя небольшой город.","Анна, у нас года через три тоже появились в городе.",statement
"Анна, у нас года через три тоже появились в городе.","Анна, и у нас к Олимпиаде -80,установили новые аттракционы, уж мы накатались))",statement
С завтрашнего дня на 3 недели существенно изменится расписание на Казанском направлении. Это нужно для строительства D3,"Непонятно чем люди недовольны, ради них стараются, ремонтируют, цены поднимают, а они недовольны",statement
С завтрашнего дня на 3 недели существенно изменится расписание на Казанском направлении. Это нужно для строительства D3,"Выхино перегружена, вот только на Лермонтовском раз в 5 народу больше садится, чем на выхино.",statement
Придумайте подпись анон,"Я так с работы еду,уставшй, нечего даже придумывать",statement
"М. Новокосино Неизвестно, что произошло (Анон)",Его сегодня откачивали это мужчина был видимо ему уже было не помочь,statement
"Федор, ласточка название современного состава, а собакой в простонародье называют электричку","Федор, электричку называют собака ! А Ласточка скоростной поезд, так что все нормально",statement
"Виктория, в монастырь мешает уйти моя мама, которая против этого категорически","Анастасия, если на вас влияет мать, то значит вы еще далеко не взрослый человек.",statement
Ты - супер макро ультра квази мега,Спасибо за макро.,thanking
Подарок.,Спасибо.,thanking
Чего вы из меня клоуна делаете?,"Спасибо, душевно посидели.",thanking
Ну если надумаешь...,"Да, пасиб.",thanking
Мне вообще пофигу!..,"Но всё равно, спасибо тебе.",thanking
"Слушай ты, ты замерз весь?!",Спасибо!,thanking
А в Черногории вот — неделя прайда,"Спасибо, добрый человек!",thanking
Маяковский очевидно.,Спасибмо!,thanking
"ChatGPT безошибочно угадывает сюжет картинки, уважение таким нейронкам.",вот спасибочки.,thanking
"Я никому неизвестный человек, задавайте вопросы.","Спасибо, тоже вроде нормально.",thanking
Я есть Грут,Спасибо),thanking
Чот доебаться решили.,Хорошее видео СПАСИБО,thanking
